Machine_ID,Fail_possibility,Failure Type,failure_probability
M14860,42.8,No Failure,8.46
L47181,46.3,No Failure,0.77
L47182,49.4,No Failure,3.31
L47183,39.5,No Failure,2.96
L47184,40,No Failure,1
M14865,41.9,No Failure,0.58
L47186,42.4,No Failure,2.9
L47187,40.2,No Failure,2.85
M14868,28.6,No Failure,2.26
M14869,28,No Failure,0.47
H29424,23.9,No Failure,2.75
H29425,44.3,No Failure,1.92
M14872,51.1,No Failure,0.71
M14873,30,No Failure,2.15
L47194,19.6,No Failure,1.79
L47195,48.4,No Failure,1.67
M14876,46.6,No Failure,4.14
M14877,45.6,No Failure,10.57
H29432,54.5,No Failure,0.55
M14879,32.5,No Failure,2.05
H29434,42.7,No Failure,1.37
L47201,44.8,No Failure,0.42
M14882,30.7,No Failure,0.46
L47203,25.7,No Failure,1.38
M14884,37.3,No Failure,1.78
L47205,23.3,No Failure,0.5
L47206,39,No Failure,0.82
H29441,24.6,No Failure,1.18
L47208,44.2,No Failure,1.16
L47209,30.1,No Failure,1.32
M14890,48.2,No Failure,0.59
L47211,25.5,No Failure,1.13
L47212,48.3,No Failure,0.79
L47213,32.5,No Failure,2.31
M14894,34.7,No Failure,2.52
M14895,48.6,No Failure,1.12
M14896,36.7,No Failure,1.29
L47217,39.2,No Failure,1.62
H29452,50.7,No Failure,1.3
L47219,52.5,No Failure,1.02
L47220,45.4,No Failure,1.83
L47221,50.8,No Failure,0.88
M14902,49.1,No Failure,0.89
H29457,48.5,No Failure,1.21
M14904,47.5,No Failure,2.02
L47225,49.1,No Failure,0.77
M14906,25.8,No Failure,0.23
L47227,46.3,No Failure,7.53
H29462,53.9,No Failure,0.76
M14909,44.1,No Failure,0.65
L47230,4.6,Power Failure,0.29
L47231,54.9,No Failure,1.03
H29466,43.8,No Failure,0.52
L47233,35.1,No Failure,0.78
L47234,30.1,No Failure,2.12
L47235,40.7,No Failure,1.63
L47236,42.4,No Failure,1.62
L47237,40.3,No Failure,0.29
M14918,29.5,No Failure,0.35
L47239,54.4,No Failure,0.98
L47240,52.6,No Failure,1.07
M14921,38.2,No Failure,0.82
L47242,22.9,No Failure,0.78
M14923,25.9,No Failure,0.15
L47244,38.6,No Failure,0.63
L47245,45.1,No Failure,0.73
M14926,28.7,No Failure,0.96
H29481,44.1,No Failure,1.38
L47248,32.4,No Failure,0.78
L47249,65.7,Power Failure,0.5
M14930,22.6,No Failure,0.9
L47251,45.5,No Failure,0.23
L47252,44.4,No Failure,0.77
L47253,35,No Failure,0.41
L47254,32.3,No Failure,0.7
L47255,46.7,No Failure,0.85
L47256,47.9,No Failure,0.18
L47257,41.3,Tool Wear Failure,1.26
L47258,51.5,No Failure,0.68
L47259,37.9,No Failure,0.08
H29494,49.9,No Failure,0.73
L47261,47.5,No Failure,0.43
L47262,40.8,No Failure,2.01
L47263,40.1,No Failure,0.71
L47264,47.6,No Failure,0.15
M14945,26.8,No Failure,0.91
H29500,43.9,No Failure,0.33
L47267,31.8,No Failure,0.23
M14948,45.2,No Failure,0.55
M14949,39.5,No Failure,0.08
L47270,25.8,No Failure,1.75
L47271,24.9,No Failure,0.64
M14952,27.1,No Failure,1.23
L47273,43,No Failure,1.37
L47274,31.9,No Failure,0.16
M14955,52.2,No Failure,0.31
M14956,35.3,No Failure,0.19
M14957,29.9,No Failure,0.43
L47278,32.7,No Failure,0.69
L47279,44.4,No Failure,0.69
L47280,25,No Failure,0.7
L47281,20.7,No Failure,0.67
L47282,40.6,No Failure,0.73
M14963,40.5,No Failure,1.1
L47284,43.4,No Failure,1.02
L47285,31.1,No Failure,0.29
L47286,48.5,No Failure,0.28
M14967,46.8,No Failure,0.22
H29522,32.7,No Failure,0.49
L47289,34.1,No Failure,1.1
L47290,22.5,No Failure,0.19
H29525,43.5,No Failure,0.56
M14972,39.5,No Failure,1.73
M14973,41.9,No Failure,1.09
L47294,29.4,No Failure,0.99
L47295,45.7,No Failure,1.06
L47296,34.1,No Failure,0.3
L47297,33,No Failure,0.67
M14978,28.1,No Failure,0.64
L47299,40.7,No Failure,1
L47300,44.7,No Failure,1.04
L47301,41.2,No Failure,1.42
L47302,50.7,No Failure,0.62
L47303,43.4,No Failure,1.03
L47304,29.4,No Failure,1.47
L47305,32.2,No Failure,0.47
L47306,60.5,No Failure,1.05
L47307,46.5,No Failure,0.14
L47308,38.6,No Failure,1.14
L47309,34.3,No Failure,0.07
L47310,41.1,No Failure,0.21
L47311,27.7,No Failure,0.07
M14992,43.2,No Failure,0.99
M14993,49.6,No Failure,0.61
L47314,53,No Failure,0.57
M14995,28.5,No Failure,0.17
H29550,45.7,No Failure,0.12
L47317,55.3,No Failure,0
H29552,49.4,No Failure,0.33
L47319,55.8,No Failure,0.51
L47320,36.1,No Failure,0.49
L47321,35.2,No Failure,0.6
M15002,28.2,No Failure,0.72
H29557,50.5,No Failure,0.19
M15004,42.4,No Failure,0.83
L47325,33.6,No Failure,0.24
H29560,36.1,No Failure,1.01
L47327,40.1,No Failure,1.74
M15008,48,No Failure,0.9
L47329,39.9,No Failure,0.15
L47330,42.7,No Failure,0.53
M15011,37.6,No Failure,0.45
M15012,41,No Failure,0.23
L47333,27,No Failure,0.58
L47334,36.2,No Failure,0.96
H29569,19.8,No Failure,0.11
M15016,46,No Failure,0.87
H29571,43.5,No Failure,0.04
M15018,40,No Failure,0.55
L47339,47,No Failure,0.8
L47340,60.7,Overstrain Failure,0.51
L47341,52.3,Overstrain Failure,0.34
L47342,35.5,No Failure,0.2
M15023,43.8,No Failure,0.23
M15024,43.6,No Failure,0.2
L47345,26,No Failure,0.09
H29580,32.6,No Failure,0.84
H29581,42.9,No Failure,0.82
L47348,62.3,Power Failure,0.94
L47349,59.1,No Failure,0.52
M15030,35,No Failure,0.2
L47351,50.8,No Failure,0.16
M15032,20.8,No Failure,0.44
M15033,33.7,No Failure,0.14
L47354,58.3,No Failure,0.17
L47355,43.5,No Failure,0.06
L47356,34.7,No Failure,0.51
L47357,21.4,No Failure,0.52
L47358,50.2,No Failure,0.28
L47359,49.8,No Failure,0.71
L47360,49.9,No Failure,0.2
H29595,24.2,No Failure,0.62
M15042,48.1,No Failure,0.2
L47363,40.7,No Failure,0.31
L47364,30.6,No Failure,0.15
L47365,38.2,No Failure,0.58
L47366,56,No Failure,0.49
L47367,43.1,No Failure,0.11
L47368,33.6,No Failure,0.28
M15049,43.4,No Failure,0.58
L47370,49.9,No Failure,0.8
L47371,34.6,No Failure,0.11
H29606,51.8,No Failure,0.38
H29607,34.6,No Failure,0.38
M15054,10.7,Power Failure,0.2
L47375,42.9,No Failure,0.68
H29610,49.5,No Failure,0.65
M15057,40.9,No Failure,0.41
L47378,35,No Failure,1.21
L47379,47.1,No Failure,1.13
L47380,35,No Failure,0.22
L47381,41.2,No Failure,0.73
M15062,35.7,No Failure,0.2
L47383,37.9,No Failure,0.57
L47384,32.8,No Failure,0.33
M15065,53,No Failure,0.21
L47386,35.3,No Failure,0.46
M15067,60.7,Power Failure,1.48
L47388,36.7,No Failure,0.44
L47389,44,No Failure,0.37
L47390,36.1,No Failure,0.78
L47391,33.9,No Failure,0.66
H29626,52.9,No Failure,0.46
L47393,44.9,No Failure,0.1
M15074,37.1,No Failure,0
L47395,40.3,No Failure,0.1
L47396,38.3,No Failure,0.63
L47397,31.6,No Failure,0.59
L47398,38.1,No Failure,0.83
M15079,46.2,No Failure,1.07
L47400,52.7,No Failure,0.21
H29635,24.3,No Failure,0.69
L47402,45,No Failure,0.41
L47403,34.4,No Failure,0.25
L47404,29.3,No Failure,0.79
L47405,53.8,No Failure,0.2
L47406,49.2,No Failure,0.37
L47407,36.1,No Failure,0.7
M15088,37.1,No Failure,0.47
L47409,32.2,No Failure,0.24
L47410,34.8,No Failure,0.44
L47411,43.1,No Failure,0.13
L47412,47.6,No Failure,0.13
L47413,34.9,No Failure,0.48
L47414,42.9,No Failure,0.3
M15095,33.7,No Failure,0.43
L47416,38.7,No Failure,0.82
M15097,36.6,No Failure,0.42
L47418,50.3,No Failure,0.08
L47419,30.6,No Failure,0.05
M15100,51.6,No Failure,0.61
L47421,24.3,No Failure,0.23
L47422,58.8,Overstrain Failure,0.02
L47423,44.1,No Failure,0.74
M15104,49.1,No Failure,0.77
M15105,31.4,No Failure,0.43
L47426,33.5,No Failure,0.33
L47427,45.5,No Failure,0.39
L47428,56.8,Overstrain Failure,0.46
L47429,56.2,Overstrain Failure,0.86
L47430,32.7,No Failure,0.4
M15111,42.6,No Failure,0.08
L47432,35.8,No Failure,0.47
L47433,48.2,No Failure,0.75
L47434,37.9,No Failure,0.13
L47435,40.4,No Failure,0.17
L47436,63,No Failure,0.46
L47437,29.5,No Failure,0.37
L47438,37.9,No Failure,0.05
M15119,63.9,Power Failure,0.41
M15120,49.1,No Failure,0.39
L47441,32.1,No Failure,0.3
M15122,26.8,No Failure,0.61
M15123,32.3,No Failure,0.72
L47444,47.5,No Failure,0.07
L47445,37.1,No Failure,1.93
H29680,43.7,No Failure,0.75
L47447,21.1,No Failure,0.23
H29682,24.8,No Failure,0.3
L47449,37,No Failure,0.84
H29684,39.6,No Failure,0.83
M15131,40.8,No Failure,0.65
L47452,40.4,No Failure,0.53
L47453,46,No Failure,0.43
L47454,28.5,No Failure,0.53
L47455,54.7,No Failure,0.53
M15136,26.6,No Failure,0.04
H29691,50.7,No Failure,0.07
M15138,29.4,No Failure,0.11
L47459,23.4,No Failure,0.56
M15140,43.7,No Failure,0.77
L47461,36.5,No Failure,0
M15142,49.8,No Failure,0.09
L47463,43,No Failure,0.89
L47464,19.2,No Failure,0.4
L47465,36,No Failure,0.07
L47466,33.2,No Failure,0.42
L47467,31.6,No Failure,0.37
H29702,42.2,No Failure,0
L47469,46.7,No Failure,0.33
L47470,45.6,No Failure,1.67
L47471,42.6,No Failure,0.41
L47472,40.2,No Failure,0.77
H29707,44.8,No Failure,0.06
M15154,51.1,No Failure,0.35
M15155,30.7,No Failure,0.69
L47476,46.2,No Failure,0.04
L47477,25.3,No Failure,0.65
H29712,18.7,No Failure,0.04
M15159,35.6,No Failure,0.59
L47480,38.3,No Failure,0.37
L47481,27.1,No Failure,0.37
H29716,35.1,No Failure,0.54
M15163,43.5,No Failure,0.4
L47484,27.5,No Failure,0.7
L47485,19.2,No Failure,0.11
L47486,47.1,No Failure,0.42
M15167,36.6,No Failure,0.73
L47488,47.2,No Failure,0.11
M15169,40.8,No Failure,0.67
H29724,41.8,No Failure,0.64
M15171,44.1,No Failure,0.7
L47492,36,No Failure,0
L47493,50.8,No Failure,0.51
M15174,53,No Failure,0.69
L47495,40.6,No Failure,0.68
L47496,33.2,No Failure,0.35
L47497,28.4,No Failure,0.06
L47498,39.9,No Failure,0.13
L47499,32.1,No Failure,0.27
H29734,38.2,No Failure,0.43
L47501,32.5,No Failure,0.27
L47502,40,No Failure,0.61
L47503,46.3,No Failure,0.46
M15184,41.9,No Failure,0.36
L47505,27.8,No Failure,0.25
L47506,41.4,No Failure,0.87
L47507,56.7,Overstrain Failure,0.32
H29742,31.4,No Failure,0.17
H29743,29.9,No Failure,0.32
M15190,41.9,No Failure,0.22
M15191,51.9,No Failure,0.56
M15192,40.2,No Failure,0.11
L47513,31.3,No Failure,0.19
M15194,44.8,No Failure,0.59
L47515,25.9,No Failure,0.1
M15196,20.5,No Failure,0.61
L47517,27.7,No Failure,0.41
L47518,38.2,No Failure,0
M15199,32.2,No Failure,0.35
L47520,39.4,No Failure,0.79
M15201,32.6,No Failure,0.1
L47522,46.5,No Failure,0.24
L47523,48.6,No Failure,0.35
M15204,13.8,No Failure,0.74
L47525,32.9,No Failure,0.33
M15206,45.2,No Failure,0.06
L47527,40.8,No Failure,0.52
L47528,31.7,No Failure,2.93
L47529,34.3,No Failure,0.38
H29764,44.3,No Failure,0.25
M15211,31,No Failure,0.57
M15212,46,No Failure,0.44
H29767,30,No Failure,0.16
L47534,34.3,No Failure,0.42
L47535,36.9,No Failure,0.39
M15216,48.9,No Failure,0.1
L47537,34.2,No Failure,0.37
M15218,36.7,No Failure,0.16
M15219,34.6,No Failure,0.2
M15220,38.2,No Failure,0.5
L47541,36.8,No Failure,0.49
H29776,30.9,No Failure,0.18
L47543,47.8,No Failure,0.41
L47544,55.2,No Failure,0.41
L47545,57.5,No Failure,0.29
